 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label,Label
55275,5,3,0,254,0,217,6,84.66666667,115.283708,0,0,0.0,0.0,50800000.0,600000.0,2.5,2.121320344,4,1,5,2.5,2.121320344,4,1,0,0.0,0.0,0,0,1,0,0,0,60,0,600000.0,0.0,6,217,117.75,115.0575943,13238.25,0,1,0,0,1,0,0,0,0,157.0,84.66666667,0.0,60,0,0,0,0,0,0,3,254,0,0,123,-1,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,BENIGN
55140,3,2,0,37,0,31,6,18.5,17.67766953,0,0,0.0,0.0,12300000.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,1,0,0,0,40,0,666666.6667,0.0,6,31,22.66666667,14.43375673,208.3333333,0,1,0,0,1,0,0,0,0,34.0,18.5,0.0,40,0,0,0,0,0,0,2,37,0,0,62,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,BENIGN
443,189539,48,64,1337,105841,570,0,27.85416667,109.1083766,2896,0,1653.765625,763.7591398,565466.7377,590.9074122,1707.558559,6628.725672,47291,0,189539,4032.744681,9834.662923,47310,1,166335,2640.238095,8255.735951,47293,1,0,0,0,0,1208,2056,253.2460338,337.6613784,0,2896,948.4778761,994.2992426,988630.9839,0,0,0,1,0,0,0,0,1,956.9464286,27.85416667,1653.765625,1208,0,0,0,0,0,0,48,1337,64,105841,29200,61,32,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,BENIGN
443,143462,49,63,1325,110185,570,0,27.04081633,108.0950506,4344,0,1748.968254,824.4211062,777279.0007,780.6945393,1292.45045,4976.439532,23271,0,143462,2988.791667,7341.58903,23806,1,120101,1937.112903,6067.335043,24553,2,0,0,0,0,1264,2024,341.553861,439.1406784,0,4344,986.8141593,1058.159863,1119702.296,0,0,0,1,0,0,0,0,1,995.625,27.04081633,1748.968254,1264,0,0,0,0,0,0,49,1325,63,110185,29200,61,30,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,BENIGN
443,4070940,5,2,135,52,46,6,27.0,20.1246118,46,6,26.0,28.28427125,45.9353368,1.719504586,678490.0,1514146.2,3766765,3,4070940,1017735.0,1834854.686,3766765,3,3884923,3884923.0,0.0,3884923,3884923,1,0,0,0,100,40,1.228217562,0.491287025,6,46,29.125,19.80935926,392.4107143,0,1,0,0,1,0,0,0,0,33.28571429,27.0,26.0,100,0,0,0,0,0,0,5,135,2,52,253,32,4,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,BENIGN
53,181,2,2,110,174,55,55,55.0,0.0,87,87,87.0,0.0,1569060.773,22099.44751,60.33333333,99.3042463,175,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,40,40,11049.72376,11049.72376,55,87,67.8,17.52712184,307.2,0,0,0,0,0,0,0,0,1,84.75,55.0,87.0,40,0,0,0,0,0,0,2,110,2,174,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,BENIGN
53,70478,4,2,156,488,39,39,39.0,0.0,244,244,244.0,0.0,9137.603224,85.13294929,14095.6,20392.72346,44621,1,25853,8617.666667,14883.81982,25804,1,4,4.0,0.0,4,4,0,0,0,0,80,64,56.75529953,28.37764976,39,244,97.57142857,100.0297575,10005.95238,0,0,0,0,0,0,0,0,0,113.8333333,39.0,244.0,80,0,0,0,0,0,0,4,156,2,488,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,BENIGN
80,277232,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,43.28504646,7.21417441,277232.0,0.0,277232,277232,277232,277232.0,0.0,277232,277232,0,0.0,0.0,0,0,0,0,0,0,40,0,7.21417441,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,64240,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,BENIGN
443,192,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,62500.0,10416.66667,192.0,0.0,192,192,192,192.0,0.0,192,192,0,0.0,0.0,0,0,0,0,0,0,40,0,10416.66667,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,64209,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,BENIGN
443,167,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,71856.28743,11976.0479,167.0,0.0,167,167,167,167.0,0.0,167,167,0,0.0,0.0,0,0,0,0,0,0,40,0,11976.0479,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,253,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,BENIGN
